"pathway" "pval" "padj" "log2err" "ES" "NES" "size"
"1" "HALLMARK_ADIPOGENESIS" 0.0283440510880136 0.0674858359238418 0.352487857583619 0.237707769629137 1.2196701970625 153
"2" "HALLMARK_ALLOGRAFT_REJECTION" 8.27585767345812e-05 0.000591132690961294 0.538434096309916 -0.444227175069297 -1.61564823437581 158
"3" "HALLMARK_ANDROGEN_RESPONSE" 0.475765306122449 0.767363396971692 0.0733446513857948 0.214916763917517 0.99175185132312 78
"4" "HALLMARK_ANGIOGENESIS" 0.0752089136490251 0.17092934920233 0.11260357881031 0.408806003101817 1.38553619887419 21
"5" "HALLMARK_APICAL_JUNCTION" 0.992109634551495 0.992109634551495 0.00311327137375248 -0.172882819827405 -0.619685721353393 130
"6" "HALLMARK_APICAL_SURFACE" 0.192489430489928 0.384978860979856 0.0337173767448511 -0.42611059165957 -1.22445651947648 27
"7" "HALLMARK_APOPTOSIS" 0.939088928089654 0.992109634551495 0.00467672299917155 -0.203551659051166 -0.73138272307146 134
"8" "HALLMARK_BILE_ACID_METABOLISM" 0.815812818806831 0.992109634551495 0.00864885840007877 -0.238759447259639 -0.79515026060144 64
"9" "HALLMARK_CHOLESTEROL_HOMEOSTASIS" 0.000227852823037149 0.00113926411518574 0.518848077743792 0.424237307142879 1.85098012372317 58
"10" "HALLMARK_COAGULATION" 0.00015558870444452 0.000972429402778251 0.518848077743792 0.386477093404408 1.80458588418722 83
"11" "HALLMARK_COMPLEMENT" 0.000180090413795732 0.00100050229886518 0.518848077743792 0.297786816818046 1.52793367300419 153
"12" "HALLMARK_DNA_REPAIR" 0.0100779220779221 0.027994227994228 0.146151534304949 -0.393084107977142 -1.40822935124443 129
"13" "HALLMARK_E2F_TARGETS" 0.00535420098846788 0.0178473366282263 0.200513180400413 -0.393601823258937 -1.42691954510795 152
"14" "HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" 3.31135460068139e-06 3.31135460068139e-05 0.627256739718528 0.41007645035213 1.97423644467118 101
"15" "HALLMARK_ESTROGEN_RESPONSE_EARLY" 0.399039465441637 0.712570474002923 0.0183444985870483 -0.294058509520972 -1.04842067845326 121
"16" "HALLMARK_ESTROGEN_RESPONSE_LATE" 0.929287654063088 0.992109634551495 0.00508204640566346 -0.206294952231329 -0.735449536540538 122
"17" "HALLMARK_FATTY_ACID_METABOLISM" 0.29597911227154 0.548109467169519 0.0229440865655545 -0.308662296887515 -1.0998888837655 120
"18" "HALLMARK_G2M_CHECKPOINT" 0.441605090311987 0.761388086744805 0.0166021549640912 -0.281839912516874 -1.02474276783794 157
"19" "HALLMARK_GLYCOLYSIS" 0.124203821656051 0.270008307947937 0.232056818075608 0.222480315265099 1.13668249553631 146
"20" "HALLMARK_HEDGEHOG_SIGNALING" 0.252210088403536 0.485019400776031 0.0294112338693492 -0.445626442187046 -1.18026784170938 18
"21" "HALLMARK_HEME_METABOLISM" 1.17044970717077e-07 1.95074951195129e-06 0.704975715167238 0.361379679813726 1.8993247163825 177
"22" "HALLMARK_HYPOXIA" 0.00804646681932038 0.0236660788803541 0.380730400722792 0.279528931978617 1.41907110316444 139
"23" "HALLMARK_IL2_STAT5_SIGNALING" 0.469776004909481 0.767363396971692 0.0156551574343545 -0.277208453977458 -1.01108371547059 164
"24" "HALLMARK_IL6_JAK_STAT3_SIGNALING" 8.75166042084032e-06 7.29305035070027e-05 0.593325476396405 0.456573219439166 2.05113694282184 68
"25" "HALLMARK_INFLAMMATORY_RESPONSE" 7.38340296228239e-08 1.8458507405706e-06 0.704975715167238 0.379421967527303 1.95130097279233 148
"26" "HALLMARK_INTERFERON_ALPHA_RESPONSE" 0.987031700288184 0.992109634551495 0.0532220567988579 0.15040867018623 0.704262542860828 84
"27" "HALLMARK_INTERFERON_GAMMA_RESPONSE" 0.988069746099725 0.992109634551495 0.00258459912099785 -0.17958328822991 -0.658391063064544 179
"28" "HALLMARK_KRAS_SIGNALING_DN" 0.870652294699411 0.992109634551495 0.00758555331013803 -0.225681169949306 -0.749865516957153 63
"29" "HALLMARK_KRAS_SIGNALING_UP" 0.0221524610666332 0.0553811526665829 0.352487857583619 0.255052346544964 1.26816721532802 122
"30" "HALLMARK_MITOTIC_SPINDLE" 0.829554738562091 0.992109634551495 0.00693691886774258 -0.229514020225141 -0.838585526477988 169
"31" "HALLMARK_MTORC1_SIGNALING" 0.855140186915888 0.992109634551495 0.105814018510618 0.169597654094509 0.893041160086152 176
"32" "HALLMARK_MYC_TARGETS_V1" 2.02806942452056e-11 1.01403471226028e-09 0.863415391606693 -0.531688525182052 -1.95177428959374 183
"33" "HALLMARK_MYC_TARGETS_V2" 1.89396180657923e-06 2.36745225822403e-05 0.643551836150722 -0.628276223189535 -2.0102479731438 49
"34" "HALLMARK_MYOGENESIS" 0.622596153846154 0.86471688034188 0.0885639937858774 0.193692674635454 0.956125996801093 119
"35" "HALLMARK_NOTCH_SIGNALING" 0.78090027356379 0.992109634551495 0.0111053176037851 -0.275437759239508 -0.791488328645569 27
"36" "HALLMARK_OXIDATIVE_PHOSPHORYLATION" 0.70432741375791 0.951793802375554 0.00966950512345932 -0.248158893921731 -0.90935034366799 178
"37" "HALLMARK_P53_PATHWAY" 0.573705179282869 0.857473353713955 0.119566417816168 0.187099040726264 0.973458425025143 160
"38" "HALLMARK_PANCREAS_BETA_CELLS" 0.00471883602044829 0.0168529857873153 0.241698386096655 -0.651475926905851 -1.70072624111687 17
"39" "HALLMARK_PEROXISOME" 0.587329138641788 0.857473353713955 0.0132797218993599 -0.27652410694928 -0.943772166620532 78
"40" "HALLMARK_PI3K_AKT_MTOR_SIGNALING" 0.595166163141994 0.857473353713955 0.0712828552644706 0.202459784956987 0.951134419535813 88
"41" "HALLMARK_PROTEIN_SECRETION" 0.983165344199013 0.992109634551495 0.00434586468468435 -0.179848773621886 -0.621398913698235 87
"42" "HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY" 0.000757137668609428 0.00315474028587262 0.477270815362862 0.450270606425152 1.83104623131416 43
"43" "HALLMARK_SPERMATOGENESIS" 0.941540501712896 0.992109634551495 0.00601497957369957 -0.204003909630716 -0.681712143991281 66
"44" "HALLMARK_TGF_BETA_SIGNALING" 0.600231347599769 0.857473353713955 0.0138933053060749 -0.293130637218695 -0.926325297493142 45
"45" "HALLMARK_TNFA_SIGNALING_VIA_NFKB" 0.000366900174105638 0.00166772806411653 0.49849310876659 0.297949437022332 1.5399685842894 156
"46" "HALLMARK_UNFOLDED_PROTEIN_RESPONSE" 0.00181198038797698 0.00696915533837299 0.354819512103747 -0.451911776280327 -1.57627145611066 96
"47" "HALLMARK_UV_RESPONSE_DN" 0.186145346366341 0.384978860979856 0.0313082833540897 -0.33712320383376 -1.17970200720589 99
"48" "HALLMARK_UV_RESPONSE_UP" 0.779816513761468 0.992109634551495 0.0769581592091491 0.182207693927974 0.898909590979074 117
"49" "HALLMARK_WNT_BETA_CATENIN_SIGNALING" 0.0109756097560976 0.0288831835686778 0.151812881287453 -0.537809356497406 -1.5795959554276 30
"50" "HALLMARK_XENOBIOTIC_METABOLISM" 0.00613593054790785 0.019174782962212 0.407017918923954 0.276983361086028 1.39317087869984 133
